User_ID,Age,Gender,City,Annual_Income,Spending_Score,Device_Type,Browser,Session_Duration_Min,Pages_Visited,Product_Category,Purchase_Amount,Payment_Method,Membership_Level,Campaign_Source,Day_of_Week,Cart_Items,Returned
1,56,Other,Delhi,1113060,97,Tablet,Firefox,10,16,Fashion,2078.8,Credit Card,Platinum,Organic,Monday,8,0
2,46,Male,Delhi,227005,45,Desktop,Firefox,62,17,Home,6852.15,Debit Card,Regular,Referral,Thursday,4,0
3,32,Male,Pune,972871,32,Mobile,Opera,55,29,Fashion,2644.67,Wallet,Silver,Organic,Friday,6,0
4,25,Female,Bangalore,511968,32,Tablet,Opera,58,28,Books,8846.74,Credit Card,Platinum,Social Media,Friday,0,0
5,38,Female,Pune,539846,1,Mobile,Opera,101,27,Books,15581.71,Wallet,Gold,Email,Thursday,0,0
6,56,Other,Mumbai,424673,74,Desktop,Opera,63,15,Electronics,1442.12,Credit Card,Platinum,Referral,Thursday,5,1
7,36,Male,Ahmedabad,646790,45,Tablet,Chrome,11,20,Sports,11305.85,COD,Silver,Referral,Saturday,6,0
8,40,Female,Mumbai,653928,64,Mobile,Safari,35,22,Books,972.17,Debit Card,Gold,Email,Wednesday,0,0
9,28,Other,Kolkata,884661,68,Mobile,Edge,98,10,Sports,17703.72,COD,Regular,Social Media,Tuesday,3,1
10,28,Other,Chennai,779555,93,Mobile,Chrome,96,8,Beauty,18435.51,Wallet,Gold,Referral,Sunday,5,0
11,41,Other,Chennai,203846,7,Tablet,Firefox,86,23,Fashion,9897.92,Debit Card,Platinum,Email,Tuesday,1,0
12,53,Female,Ahmedabad,263571,38,Tablet,Edge,4,28,Beauty,15407.7,UPI,Regular,Social Media,Wednesday,8,0
13,57,Female,Ahmedabad,324908,70,Desktop,Safari,117,9,Home,11898.93,UPI,Platinum,Email,Friday,9,0
14,41,Male,Delhi,382248,53,Desktop,Safari,66,23,Beauty,6879.19,Debit Card,Platinum,Social Media,Monday,1,0
15,20,Male,Ahmedabad,1233549,75,Tablet,Firefox,33,19,Books,4978.3,COD,Platinum,Organic,Friday,9,0
16,39,Other,Pune,329447,73,Mobile,Edge,73,10,Electronics,15196.06,Net Banking,Platinum,Email,Friday,4,1
17,19,Other,Mumbai,1174132,30,Tablet,Opera,35,20,Beauty,8656.61,Debit Card,Silver,Social Media,Monday,0,0
18,41,Female,Kolkata,1275962,22,Tablet,Edge,38,3,Books,18412.75,Credit Card,Gold,Ads,Monday,5,0
